Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,,1.158678893,1.295975316,1.172248497,1.04579714,0.957042879,0.833746032,0.472845831,0.103659871,-0.06017652,-0.200850334,-0.318840363,-1.285625665,0.400992823,0.057637866,-0.122095996,0.094976433,0.331708942,0.303664448,0.674872876,1.174311993,1.056017709,1.138853294,1.512382929,1.046167289,-1.913553143,-2.98549114,-1.326951524,0.261446821,1.827670822,3.719723686,4.855337551,4.000592614,5.739187418,4.338145748,1.972092247,3.104024577,3.022652959,1.601491842,0.493476684,0.156076367,0.122797918,-0.103896113,0.339622968,1.328488057,1.782348516,0.981157087,-0.07461084,-0.065613089,-0.15175369,-0.607047688,0.461873567,1.509445619,1.56847691,1.183808313,1.178557653,0.952113058,0.242460453,0.430299648,0.582083641,-0.221045741,-0.432978827,0.059249229,0.504310913,
Africa Eastern and Southern,AFE,,4.412382176,4.515450362,4.65342906,4.764891408,4.824081399,4.870786576,4.904706113,4.955499279,4.980335572,4.836023829,4.830073232,4.873716381,4.896034801,4.766352523,4.710358706,4.679002165,4.631287588,4.863292515,4.906009175,4.720529332,4.716421022,4.784733724,4.965582201,5.103638093,5.212815334,5.307208865,5.259155175,5.115569245,4.956163456,5.016378183,4.550920239,4.386590568,4.540903377,4.355730469,4.037144368,3.720034173,3.606148741,3.681238534,3.700572093,3.638170802,3.678997077,3.748840678,3.738608989,3.757962356,3.832063605,3.797735308,3.578565352,4.103870622,4.123369346,4.135118853,4.100801507,4.067209076,4.166516977,4.161352679,4.208738371,4.083580781,4.07909896,4.215325107,4.164378564,4.147434892,4.103565499,4.041115572,3.94845245,
Afghanistan,AFG,,5.275388768,5.351671312,5.392848418,5.448598291,5.497136077,5.537563347,5.546899895,5.599993543,5.610217668,5.656950622,5.623466058,5.62737196,5.699275812,5.677570272,5.557718057,5.338342445,5.22727155,5.10149182,3.407927192,-0.107327814,-6.336290996,-4.786772386,2.76929069,5.88594038,5.476015296,3.305030429,3.055697416,4.494370657,3.426478713,1.855711812,2.01072858,8.574058437,12.22315979,8.807543591,5.310742099,4.420766272,4.222694875,4.176594572,4.142868312,1.62976951,1.173323268,5.666173062,6.55760459,4.231317639,4.417399083,4.987242223,2.78786855,3.078153606,4.534368413,3.819068494,4.576484646,4.929217251,4.295993091,4.506707415,3.994626151,3.406812717,3.723402815,3.876432657,3.995142835,4.204217013,3.456606387,2.576854304,3.319568175,
Africa Western and Central,AFW,,4.79512681,4.817387125,4.9171687,4.977043831,5.048676133,4.888892468,4.930371626,4.983385115,5.028812312,5.008585932,5.345645535,5.384381812,5.430397129,5.492673592,5.541853709,5.546658268,5.332194298,5.35431881,4.960034233,4.942531277,5.432738547,5.421825393,5.206507112,5.164594403,5.364947985,5.279308775,5.188212262,5.104594354,5.025916852,4.749185888,4.141064103,4.196463955,4.103115068,3.992902123,4.029533418,4.029409146,4.155057072,4.215938034,4.176608308,4.185464534,4.614266704,4.600733481,4.599225432,4.605889707,4.614675756,4.595357249,4.556540282,4.525452229,4.4714579,4.453002157,4.452719404,4.37636988,4.278663846,4.254058008,4.20176157,4.139698155,4.061436347,3.935822276,3.81453961,3.734683156,3.675760505,3.620588238,3.626825363,
Angola,AGO,,4.747365803,4.680637562,4.683736825,4.693393989,4.684179489,4.690498942,4.682280034,4.661411938,4.617474178,5.079548167,6.749727834,8.142353377,8.47691446,8.483625796,8.37474606,8.246954008,8.217666869,8.263676713,8.231016036,8.246607483,8.223531535,8.193813568,8.158945883,8.080389328,7.965260323,7.830025103,7.606136093,7.459133118,7.37663099,7.270748571,7.152223434,6.98614919,6.806042528,6.765864145,6.02228821,6.011479952,5.962302623,5.861913436,5.752786409,5.716830541,5.695935622,5.696102798,5.725164702,5.773911993,5.763158389,5.039956871,5.072569371,5.08740027,5.083583973,5.11187635,5.126419803,5.098747401,5.040876759,4.901636358,4.738415032,4.678376229,4.610485788,4.488892322,4.394795922,4.242387927,4.12708088,4.059358345,3.968287848,
Albania,ALB,,3.893009665,3.289207022,3.182264531,3.112068144,2.984828013,2.864945444,2.859929437,3.071745751,3.219848385,3.157619134,3.029187299,3.100658737,2.964573466,2.89871135,2.902126121,2.805688761,2.810024998,2.669114362,2.582275994,2.82702035,2.775926165,2.883273307,2.890837193,2.867971958,2.817046493,2.691391059,2.755141155,2.639152558,3.437377879,2.543042545,0.141060582,0.87843043,0.85553496,0.84372567,0.82417126,0.812476342,0.788237295,0.774515179,0.755983737,0.742478629,0.710442618,2.181208904,2.060274182,1.971798937,1.826429357,1.662227897,1.49221507,1.435124211,1.473287913,1.609373264,1.787783785,1.848378936,1.74363937,1.646115996,1.484764333,1.54401448,1.541284964,1.317162104,1.071413549,0.857610923,0.44340448,0.093716063,0.103888261,
Andorra,AND,,12.05175956,11.4961859,10.94884446,10.3626308,9.816723523,10.02768117,10.74211207,10.69243037,10.09265267,9.567245112,9.079799125,8.669291549,8.285854166,7.887568428,7.50480487,7.103765964,6.65760542,6.197968857,5.657423859,5.090672465,4.600796554,4.924149965,5.197336336,4.71831484,4.141865235,4.439233436,3.955502104,3.475445651,2.242600538,3.663533162,7.259698926,5.830377832,4.751213795,1.86013183,-1.332523347,-0.140423634,0.849552018,0.778226903,0.218661975,-0.33064407,-0.113757215,0.536326634,3.908060684,6.231616746,3.56642409,2.225410677,2.282319875,1.615640453,0.365346276,-3.971315197,-3.79302875,-1.334685381,-2.263339706,-2.065496189,-2.251676819,-0.100423671,2.057250926,1.778861183,1.64230432,1.099675566,1.198161589,1.643667396,1.39189682,
Arab World,ARB,,4.983029564,5.001748717,5.057702219,5.074343233,5.134811914,5.01798809,4.746602155,4.793903729,4.813840005,4.775296723,4.648540171,4.663846867,4.666798658,4.512173373,4.590387696,4.665325851,4.538944838,4.603688705,4.706364747,4.697606876,4.511804207,4.331171478,4.386445046,4.556694626,4.449722325,4.40841694,4.250019221,3.876217979,3.712057395,4.352262893,3.132791861,3.704793875,3.683449926,3.354768391,2.974172132,2.890517091,2.919388089,2.95168371,2.924732392,2.972845326,3.021727334,2.984784604,2.949495098,2.933685364,3.065358662,3.162762569,3.04891129,3.347887811,3.236630389,2.512301483,2.899726409,2.94965957,3.305736956,3.016007977,3.245386986,2.930325898,2.397530563,2.053478741,2.240716141,2.63778518,1.814444994,3.006611298,2.862633942,
United Arab Emirates,ARE,,6.137387945,6.075298917,6.007382035,5.877117943,5.576213947,5.035928272,4.205796942,11.07415137,18.38296293,17.86424468,15.63474515,13.90663137,12.52766707,11.39834881,10.4304592,12.74745806,14.50680394,13.31094517,12.2012549,11.01632056,7.926629842,5.602455553,5.469628223,5.289013033,5.08249203,6.065393611,6.850998191,6.428144329,6.047039982,5.695200268,5.370188789,5.062041113,4.766704619,4.476904891,4.282991894,6.698537184,8.689713437,8.173637657,7.700055696,7.268027395,6.897129994,6.584890312,6.282836755,5.976484176,5.664088049,7.589468133,12.04269042,11.81909456,6.643639437,2.809142218,3.758103396,4.344396879,4.37247574,5.01550896,5.733411414,5.269544155,3.502465109,1.647059388,1.362624558,-0.176860052,2.123057094,5.367448884,4.246393644,
Argentina,ARG,,2.4750388,2.395177158,2.365706471,2.318203063,2.253941738,2.208804058,2.186641173,2.177855075,2.165966022,2.178048733,2.131780345,2.113898857,2.135832441,2.153677206,2.105831044,2.054342053,2.060561158,2.067443805,2.054775194,2.041647908,2.114646317,2.138111916,2.119905589,2.098237761,2.064205452,2.032856739,2.009844735,2.003192524,1.971046543,1.919002966,1.832574395,1.629133688,1.593238414,1.576890512,1.541964143,1.486308937,1.438467599,1.395462756,1.370250677,1.34649835,1.307503731,1.271828874,1.229575141,1.207897147,1.217572379,1.215786384,1.174967373,1.194208129,1.237459448,1.230430133,1.219822565,1.171529002,1.133331503,1.171920819,1.185054365,1.104335316,1.014308165,0.954764788,0.842521815,0.615028912,0.393904283,0.338668251,0.412511399,
